,FundingRate,LongPct,LongShortRatio,ShortPct,etf_flow_proxy,FundingRate_EMA3,FundingRate_Pct90d
2020-01-01,-0.00011468666666666666,,,,,-0.00011580517264313717,
2020-01-02,4.0334166666666664e-05,,,,,3.624367572835297e-05,
2020-01-03,1.7796250000000004e-05,,,,,1.3726590562135527e-05,
2020-01-04,5.823666666666667e-05,,,,,5.929963193517966e-05,
2020-01-05,0.0001,,,,,9.889942671435866e-05,
2020-01-06,0.0001,,,,,9.999999993440072e-05,
2020-01-07,0.0001,,,,,9.999999999999999e-05,
2020-01-08,0.00010838,,,,,0.00010837998407885433,
2020-01-09,0.0001,,,,,0.00010000001592114472,
2020-01-10,0.0001,,,,,0.00010000000000000097,
2020-01-11,0.00012615333333333334,,,,,0.00012614061303456623,
2020-01-12,0.0001,,,,,0.0001000127202980089,0.5907407407407408
2020-01-13,0.0001,,,,,0.00010000000000075819,0.5549382716049382
2020-01-14,0.00015962500000000002,,,,,0.00015957334327697755,0.6935956790123456
2020-01-15,0.00026296333333333333,,,,,0.00026299934360752566,0.7891975308641975
2020-01-16,0.00027552333333333333,,,,,0.00026657918297108075,0.7758487654320988
2020-01-17,0.0002725866666666667,,,,,0.00026213565180555087,0.7339506172839506
2020-01-18,0.0002490295833333333,,,,,0.0002592449383570891,0.717361111111111
2020-01-19,0.0005061233333333333,,,,,0.000481044149943065,0.8922839506172839
2020-01-20,0.00016828,,,,,0.0002022299526762704,0.5499999999999999
2020-01-21,0.00014407333333333334,,,,,0.00014200688816932058,0.5947530864197531
2020-01-22,0.00013322666666666668,,,,,0.00013559940224070182,0.36728395061728397
2020-01-23,0.00024101333333333334,,,,,0.00022347391778465523,0.4669753086419753
2020-01-24,0.00039271000000000005,,,,,0.00040687736790499096,0.7761574074074074
2020-01-25,0.0001,,,,,0.00010339044439401933,0.18009259259259258
2020-01-26,0.0001,,,,,0.00010000000020208624,0.20555555555555557
2020-01-27,0.0001,,,,,0.00010000000000000003,0.22646604938271606
2020-01-28,0.00044361000000000004,,,,,0.0004250896065330506,0.6949845679012346
2020-01-29,0.00076677375,,,,,0.0007669111965544288,0.9185185185185185
2020-01-30,0.0002777633333333333,,,,,0.00028580752295841454,0.6799382716049384
2020-01-31,0.0005685433333333334,,,,,0.000566380704691635,0.8208333333333333
2020-02-01,0.0006323666666666667,,,,,0.0006285692848744416,0.8231481481481482
2020-02-02,0.00042901,,,,,0.0004222236272104155,0.6540123456790123
2020-02-03,0.00035513,,,,,0.00037817288952506344,0.48788580246913577
2020-02-04,0.0006584266666666666,,,,,0.0006466952215438071,0.7491512345679013
2020-02-05,0.00025384999999999996,,,,,0.00024793016443338324,0.3333333333333333
2020-02-06,0.0009932933333333333,,,,,0.0009919211551302025,0.8515432098765432
2020-02-07,0.0002936625,,,,,0.00030251991172511805,0.27492283950617286
2020-02-08,0.0006736266666666667,,,,,0.0006466798650539613,0.703858024691358
2020-02-09,0.0007942366666666667,,,,,0.000788130635888643,0.7625000000000001
2020-02-10,0.0011102033333333333,,,,,0.001116743850812925,0.9085648148148149
2020-02-11,0.0005296866666666667,,,,,0.0005496668556672643,0.4871913580246914
2020-02-12,0.0017864404166666667,,,,,0.0017640532841577993,0.8962191358024691
2020-02-13,0.0008322045833333334,,,,,0.0008461368126635969,0.6479166666666667
2020-02-14,0.00064575,,,,,0.0006517686188753285,0.5035493827160494
2020-02-15,0.00081114,,,,,0.0007980644175083857,0.6030864197530864
2020-02-16,0.00049674,,,,,0.0005078448069160084,0.27253086419753086
2020-02-17,0.0006507166666666666,,,,,0.0006381316134819522,0.4367283950617284
2020-02-18,0.00023527,,,,,0.00026083552245258966,0.04429012345679012
2020-02-19,0.00042209541666666665,,,,,0.00041745060918535427,0.18325617283950615
2020-02-20,0.00011281541666666667,,,,,0.0001256272372953957,0.029861111111111113
2020-02-21,0.0001,,,,,0.00010000000152750239,0.06759259259259259
2020-02-22,0.00010747666666666667,,,,,0.00010654573404947927,0.15092592592592594
2020-02-23,0.00044660333333333327,,,,,0.0004245321285443694,0.5200617283950617
2020-02-24,0.00025142583333333333,,,,,0.0002744202867453821,0.34174382716049384
2020-02-25,0.00033818041666666666,,,,,0.00032285640966168766,0.48912037037037037
2020-02-26,0.00041217500000000003,,,,,0.0004155457255150473,0.6213734567901235
2020-02-27,0.00013648500000000002,,,,,0.0001484458707996642,0.24112654320987656
2020-02-28,0.00015087666666666665,,,,,0.00014522788029710674,0.3478395061728395
2020-02-29,0.00061349,,,,,0.0005973320031697282,0.9479938271604939
2020-03-01,0.00035965166666666664,,,,,0.0003727047494175486,0.6625771604938272
