date,unconfirmed_count,mempool_size,avg_block_size,BTC_DVOL_Open,BTC_DVOL_Close
2025-01-27 00:00:00,331822.0,,1.7796417756410254,56.74,59.05
2025-01-27 12:45:00,,29149469.0,,,
2025-01-27 18:30:00,,25324088.0,,,
2025-01-28 00:00:00,305769.0,,1.9123466959459459,59.05,56.2
2025-01-28 00:15:00,,25986955.0,,,
2025-01-28 06:00:00,,22283919.0,,,
2025-01-28 11:45:00,,27618871.0,,,
2025-01-28 17:30:00,,38884503.0,,,
2025-01-28 23:15:00,,27666345.0,,,
2025-01-29 00:00:00,355121.0,,1.7883141612903222,56.2,56.15
2025-01-29 05:00:00,,17316682.5,,,
2025-01-29 10:45:00,,21056140.5,,,
2025-01-29 16:30:00,,26822630.5,,,
2025-01-29 22:15:00,,21683565.0,,,
2025-01-30 00:00:00,334938.0,,1.7439475379310347,56.15,54.64
2025-01-30 04:00:00,,19604263.5,,,
2025-01-30 09:45:00,,16713054.0,,,
2025-01-30 15:30:00,,15483531.0,,,
2025-01-30 21:15:00,,14055631.0,,,
2025-01-31 00:00:00,328521.0,,1.7345627839999993,54.64,53.32
2025-01-31 03:00:00,,7703194.5,,,
2025-01-31 08:45:00,,12422759.0,,,
2025-01-31 14:30:00,,17672886.0,,,
2025-01-31 20:15:00,,30909729.5,,,
2025-02-01 00:00:00,357292.0,,1.8756956847826083,53.32,53.77
2025-02-01 02:00:00,,28329616.5,,,
2025-02-01 07:45:00,,23608732.5,,,
2025-02-01 13:30:00,,9916356.5,,,
2025-02-01 19:15:00,,6544583.0,,,
2025-02-02 00:00:00,383075.0,,1.6779790877192988,53.77,57.04
2025-02-02 01:00:00,,2167866.5,,,
2025-02-02 06:45:00,,384106.5,,,
2025-02-02 12:30:00,,4691550.0,,,
2025-02-02 18:15:00,,16884196.0,,,
2025-02-03 00:00:00,360212.0,28604858.0,1.689621862745099,57.04,56.94
2025-02-03 05:45:00,,26621747.5,,,
2025-02-03 11:30:00,,25199644.0,,,
2025-02-03 17:15:00,,12365375.5,,,
2025-02-03 23:00:00,,14204384.0,,,
2025-02-04 00:00:00,308406.0,,1.840725908396947,55.61,54.03
2025-02-04 04:45:00,,6278119.5,,,
2025-02-04 10:30:00,,7867089.0,,,
2025-02-04 16:15:00,,5533455.0,,,
2025-02-04 22:00:00,,8180154.5,,,
2025-02-05 00:00:00,380902.0,,1.9081175694444446,54.03,54.53
2025-02-05 03:45:00,,7845029.0,,,
2025-02-05 09:30:00,,3385942.0,,,
2025-02-05 15:15:00,,6373974.0,,,
2025-02-05 21:00:00,,2645670.5,,,
2025-02-06 00:00:00,428138.0,,1.7654181517241379,54.53,53.91
2025-02-06 02:45:00,,4890664.0,,,
2025-02-06 08:30:00,,14599479.0,,,
