date,Stablecoin_Cap,M2_USA,M2_EU,M2_Japan,M2_China,M2_UK,M2_USA_idx,M2_EU_idx,M2_Japan_idx,M2_China_idx,M2_UK_idx,Global_M2_Index,GBTC_Close,GBTC_Volume,GBTC_High,GBTC_Low,BITO_Close,BITO_Volume,BITO_High,BITO_Low,IBIT_Close,IBIT_Volume,IBIT_High,IBIT_Low,FBTC_Close,FBTC_Volume,FBTC_High,FBTC_Low,ETF_Total_Volume,ETF_IBIT_Flow_Proxy,Transactions,Hash_Rate,Tx_Volume,Mempool_Size,Unique_Addresses,Coinglass_funding_rate_open,Coinglass_funding_rate_high,Coinglass_funding_rate_low,Coinglass_funding_rate_close,Coinglass_oi_open,Coinglass_oi_high,Coinglass_oi_low,Coinglass_oi_close,Coinglass_long_ratio,Coinglass_short_ratio,Coinglass_long_short_ratio,ETF_Volume_ZScore,M2_MoM_Chg,M2_YoY_Chg
2017-01-01,,13324.3,11417625043537.7,959171000000000.0,157144999214826.0,2652368000000.0,86.27939805221715,87.71678176387105,9.59171e+16,1.57144999214826e+16,91.33074047866232,2.2326319984296576e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02,,13326.477419354838,11418758049429.586,959301570967741.9,157172897112862.28,2653474935483.871,86.29349758699516,87.72548616869928,9.593015709677419e+16,1.571728971128623e+16,91.36885631982918,2.232948936161214e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,,13328.654838709677,11419891055321.473,959432141935483.9,157200795010898.6,2654581870967.7417,86.30759712177318,87.7341905735275,9.594321419354838e+16,1.5720079501089858e+16,91.40697216099602,2.2332658738927704e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-04,,13330.832258064516,11421024061213.361,959562712903225.8,157228692908934.88,2655688806451.613,86.3216966565512,87.74289497835574,9.595627129032258e+16,1.5722869290893488e+16,91.44508800216288,2.2335828116243268e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05,,13333.009677419353,11422157067105.248,959693283870967.8,157256590806971.16,2656795741935.484,86.33579619132921,87.75159938318396,9.596932838709677e+16,1.5725659080697116e+16,91.48320384332973,2.2338997493558836e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,,13335.187096774192,11423290072997.135,959823854838709.6,157284488705007.44,2657902677419.355,86.34989572610723,87.76030378801218,9.598238548387096e+16,1.5728448870500746e+16,91.52131968449659,2.23421668708744e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-07,,13337.364516129031,11424423078889.021,959954425806451.6,157312386603043.75,2659009612903.2256,86.36399526088525,87.7690081928404,9.599544258064517e+16,1.5731238660304374e+16,91.55943552566343,2.2345336248189964e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-08,,13339.54193548387,11425556084780.908,960084996774193.5,157340284501080.03,2660116548387.0967,86.37809479566326,87.77771259766864,9.600849967741936e+16,1.5734028450108004e+16,91.59755136683029,2.234850562550553e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-09,,13341.71935483871,11426689090672.797,960215567741935.5,157368182399116.3,2661223483870.968,86.39219433044128,87.78641700249686,9.602155677419355e+16,1.5736818239911632e+16,91.63566720799714,2.2351675002821092e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,,13343.896774193548,11427822096564.684,960346138709677.4,157396080297152.62,2662330419354.839,86.4062938652193,87.79512140732508,9.603461387096774e+16,1.5739608029715262e+16,91.67378304916399,2.2354844380136656e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-11,,13346.074193548386,11428955102456.57,960476709677419.4,157423978195188.9,2663437354838.7095,86.42039339999732,87.8038258121533,9.604767096774194e+16,1.574239781951889e+16,91.71189889033084,2.235801375745222e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-12,,13348.251612903225,11430088108348.457,960607280645161.2,157451876093225.2,2664544290322.5806,86.43449293477534,87.81253021698153,9.606072806451613e+16,1.574518760932252e+16,91.7500147314977,2.2361183134767784e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13,,13350.429032258064,11431221114240.344,960737851612903.2,157479773991261.47,2665651225806.4517,86.44859246955335,87.82123462180977,9.607378516129032e+16,1.5747977399126148e+16,91.78813057266456,2.236435251208335e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-14,,13352.606451612903,11432354120132.232,960868422580645.1,157507671889297.78,2666758161290.3228,86.46269200433137,87.82993902663799,9.608684225806451e+16,1.5750767188929778e+16,91.8262464138314,2.2367521889398916e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-15,,13354.783870967742,11433487126024.12,960998993548387.1,157535569787334.06,2667865096774.1934,86.47679153910939,87.83864343146621,9.60998993548387e+16,1.5753556978733406e+16,91.86436225499826,2.237069126671448e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-16,,13356.96129032258,11434620131916.006,961129564516129.0,157563467685370.34,2668972032258.0645,86.4908910738874,87.84734783629443,9.61129564516129e+16,1.5756346768537036e+16,91.90247809616511,2.2373860644030044e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-17,,13359.138709677418,11435753137807.893,961260135483871.0,157591365583406.66,2670078967741.9355,86.50499060866542,87.85605224112267,9.61260135483871e+16,1.5759136558340664e+16,91.94059393733195,2.237703002134561e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-18,,13361.316129032257,11436886143699.78,961390706451612.9,157619263481442.94,2671185903225.8066,86.51909014344344,87.86475664595089,9.61390706451613e+16,1.5761926348144294e+16,91.97870977849881,2.2380199398661172e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-19,,13363.493548387096,11438019149591.666,961521277419354.9,157647161379479.22,2672292838709.6772,86.53318967822145,87.87346105077911,9.615212774193549e+16,1.5764716137947922e+16,92.01682561966567,2.2383368775976736e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-20,,13365.670967741935,11439152155483.555,961651848387096.8,157675059277515.53,2673399774193.5483,86.54728921299947,87.88216545560734,9.616518483870968e+16,1.5767505927751552e+16,92.05494146083251,2.23865381532923e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-21,,13367.848387096774,11440285161375.441,961782419354838.8,157702957175551.8,2674506709677.4194,86.56138874777749,87.89086986043557,9.617824193548387e+16,1.577029571755518e+16,92.09305730199937,2.2389707530607868e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-22,,13370.025806451613,11441418167267.328,961912990322580.6,157730855073588.1,2675613645161.2905,86.5754882825555,87.8995742652638,9.619129903225806e+16,1.577308550735881e+16,92.13117314316622,2.239287690792343e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-23,,13372.20322580645,11442551173159.215,962043561290322.6,157758752971624.38,2676720580645.161,86.58958781733352,87.90827867009202,9.620435612903226e+16,1.5775875297162438e+16,92.16928898433308,2.2396046285238996e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-24,,13374.380645161289,11443684179051.102,962174132258064.5,157786650869660.7,2677827516129.032,86.60368735211154,87.91698307492024,9.621741322580645e+16,1.5778665086966068e+16,92.20740482549992,2.239921566255456e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-25,,13376.558064516128,11444817184942.99,962304703225806.5,157814548767696.97,2678934451612.9033,86.61778688688956,87.92568747974846,9.623047032258064e+16,1.5781454876769696e+16,92.24552066666678,2.2402385039870124e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
