Date,M2_Raw,TGA_Raw,RRP_Raw,Fed_Net_Liquidity,Fed_Net_Liq_90d_MA,Fed_Net_Liq_90d_Std,Fed_Liq_ZScore,Fed_Liq_Pct30d,Stablecoins_Total_MCap,Stablecoins_Delta_30d,Stablecoins_PctChange_14d
2018-02-27,,,,,,,,,60109970.0,30000000.0,0.0
2018-02-28,,,,,,,,,60109970.0,0.0,0.0
2018-03-01,,,,,,,,,60109970.0,0.0,0.0
2018-03-02,,,,,,,,,60109970.0,0.0,0.0
2018-03-03,,,,,,,,,60109970.0,0.0,0.0
2018-03-04,,,,,,,,,60109970.0,0.0,0.0
2018-03-05,,,,,,,,,60109970.0,0.0,0.0
2018-03-06,,,,,,,,,60109970.0,0.0,0.0
2018-03-07,,,,,,,,,60109970.0,0.0,0.0
2018-03-08,,,,,,,,,60109970.0,0.0,0.0
2018-03-09,,,,,,,,,60109970.0,0.0,0.0
2018-03-10,,,,,,,,,60109970.0,0.0,0.0
2018-03-11,,,,,,,,,60109970.0,0.0,0.0
2018-03-12,,,,,,,,,60109970.0,0.0,0.0
2018-03-13,,,,,,,,,60109970.0,0.0,0.0
2018-03-14,,,,,,,,,60109970.0,0.0,0.0
2018-03-15,,,,,,,,,60109970.0,0.0,0.0
2018-03-16,,,,,,,,,60109970.0,0.0,0.0
2018-03-17,,,,,,,,,60109970.0,0.0,0.0
2018-03-18,,,,,,,,,60109970.0,0.0,0.0
2018-03-19,,,,,,,,,60109970.0,0.0,0.0
2018-03-20,,,,,,,,,60109970.0,0.0,0.0
2018-03-21,,,,,,,,,60109970.0,0.0,0.0
2018-03-22,,,,,,,,,60109970.0,0.0,0.0
2018-03-23,,,,,,,,,60109970.0,0.0,0.0
2018-03-24,,,,,,,,,60109970.0,0.0,0.0
2018-03-25,,,,,,,,,60109970.0,0.0,0.0
2018-03-26,,,,,,,,,60109970.0,0.0,0.0
2018-03-27,,,,,,,,,60109970.0,0.0,0.0
2018-03-28,,,,,,,,,60109970.0,0.0,0.0
2018-03-29,,,,,,,,,60109970.0,0.0,0.0
2018-03-30,,,,,,,,,60109970.0,0.0,0.0
2018-03-31,,,,,,,,,60109970.0,0.0,0.0
2018-04-01,,,,,,,,,60109970.0,0.0,0.0
2018-04-02,,,,,,,,,60109970.0,0.0,0.0
2018-04-03,,,,,,,,,60109970.0,0.0,0.0
2018-04-04,,,,,,,,,60109970.0,0.0,0.0
2018-04-05,,,,,,,,,60109970.0,0.0,0.0
2018-04-06,,,,,,,,,60109970.0,0.0,0.0
2018-04-07,,,,,,,,,60109970.0,0.0,0.0
2018-04-08,,,,,,,,,60109970.0,0.0,0.0
2018-04-09,,,,,,,,,60109970.0,0.0,0.0
2018-04-10,,,,,,,,,60109970.0,0.0,0.0
2018-04-11,,,,,,,,,60109970.0,0.0,0.0
2018-04-12,,,,,,,,,60109970.0,0.0,0.0
2018-04-13,,,,,,,,,60109970.0,0.0,0.0
2018-04-14,,,,,,,,,60109970.0,0.0,0.0
2018-04-15,,,,,,,,,60109970.0,0.0,0.0
2018-04-16,,,,,,,,,60109970.0,0.0,0.0
2018-04-17,,,,,,,,,60109970.0,0.0,0.0
2018-04-18,,,,,,,,,60109970.0,0.0,0.0
2018-04-19,,,,,,,,,60109970.0,0.0,0.0
2018-04-20,,,,,,,,,60109970.0,0.0,0.0
2018-04-21,,,,,,,,,60109970.0,0.0,0.0
2018-04-22,,,,,,,,,60109970.0,0.0,0.0
2018-04-23,,,,,,,,,60109970.0,0.0,0.0
2018-04-24,,,,,,,,,60109970.0,0.0,0.0
2018-04-25,,,,,,,,,60109970.0,0.0,0.0
2018-04-26,,,,,,,,,60109970.0,0.0,0.0
2018-04-27,,,,,,,,,60109970.0,0.0,0.0
2018-04-28,,,,,,,,,60109970.0,0.0,0.0
2018-04-29,,,,,,,,,60109970.0,0.0,0.0
2018-04-30,,,,,,,,,60109970.0,0.0,0.0
2018-05-01,,,,,,,,,60109970.0,0.0,0.0
2018-05-02,,,,,,,,,60109970.0,0.0,0.0
2018-05-03,,,,,,,,,60109970.0,0.0,0.0
2018-05-04,,,,,,,,,60109970.0,0.0,0.0
2018-05-05,,,,,,,,,60109970.0,0.0,0.0
2018-05-06,,,,,,,,,60109970.0,0.0,0.0
2018-05-07,,,,,,,,,60109970.0,0.0,0.0
2018-05-08,,,,,,,,,60109970.0,0.0,0.0
2018-05-09,,,,,,,,,60109970.0,0.0,0.0
2018-05-10,,,,,,,,,60109970.0,0.0,0.0
2018-05-11,,,,,,,,,60109970.0,0.0,0.0
2018-05-12,,,,,,,,,60109970.0,0.0,0.0
2018-05-13,,,,,,,,,60109970.0,0.0,0.0
2018-05-14,,,,,,,,,60109970.0,0.0,0.0
2018-05-15,,,,,,,,,60109970.0,0.0,0.0
2018-05-16,,,,,,,,,60109970.0,0.0,0.0
2018-05-17,,,,,,,,,60109970.0,0.0,0.0
2018-05-18,,,,,,,,,60109970.0,0.0,0.0
2018-05-19,,,,,,,,,60109970.0,0.0,0.0
2018-05-20,,,,,,,,,60109970.0,0.0,0.0
2018-05-21,,,,,,,,,60109970.0,0.0,0.0
2018-05-22,,,,,,,,,60109970.0,0.0,0.0
2018-05-23,,,,,,,,,60109970.0,0.0,0.0
2018-05-24,,,,,,,,,60109970.0,0.0,0.0
2018-05-25,,,,,,,,,60109970.0,0.0,0.0
2018-05-26,,,,,,,,,60109970.0,0.0,0.0
2018-05-27,,,,,,,,,60109970.0,0.0,0.0
2018-05-28,,,,,,,,,60109970.0,0.0,0.0
2018-05-29,,,,,,,,,60109970.0,0.0,0.0
2018-05-30,,,,,,,,,60109970.0,0.0,0.0
2018-05-31,,,,,,,,,60109970.0,0.0,0.0
2018-06-01,,,,,,,,,60109970.0,0.0,0.0
2018-06-02,,,,,,,,,60109970.0,0.0,0.0
2018-06-03,,,,,,,,,60109970.0,0.0,0.0
2018-06-04,,,,,,,,,60109970.0,0.0,0.0
2018-06-05,,,,,,,,,60109970.0,0.0,0.0
2018-06-06,,,,,,,,,60109970.0,0.0,0.0
2018-06-07,,,,,,,,,60109970.0,0.0,0.0
2018-06-08,,,,,,,,,60109970.0,0.0,0.0
2018-06-09,,,,,,,,,60109970.0,0.0,0.0
2018-06-10,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-11,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-12,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-13,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-14,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-15,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-16,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-17,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-18,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-19,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-20,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-21,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-22,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-23,,,,,,,,,60109502.0,-468.0,-7.785730054443718e-06
2018-06-24,,,,,,,,,60109502.0,-468.0,0.0
2018-06-25,,,,,,,,,60109502.0,-468.0,0.0
2018-06-26,,,,,,,,,60109502.0,-468.0,0.0
2018-06-27,,,,,,,,,60109502.0,-468.0,0.0
2018-06-28,,,,,,,,,60109502.0,-468.0,0.0
2018-06-29,,,,,,,,,60109502.0,-468.0,0.0
2018-06-30,,,,,,,,,60109502.0,-468.0,0.0
2018-07-01,,,,,,,,,60109502.0,-468.0,0.0
2018-07-02,,,,,,,,,60109502.0,-468.0,0.0
2018-07-03,,,,,,,,,60109502.0,-468.0,0.0
2018-07-04,,,,,,,,,60109502.0,-468.0,0.0
2018-07-05,,,,,,,,,60109502.0,-468.0,0.0
2018-07-06,,,,,,,,,60109502.0,-468.0,0.0
2018-07-07,,,,,,,,,60109502.0,-468.0,0.0
2018-07-08,,,,,,,,,60109502.0,-468.0,0.0
2018-07-09,,,,,,,,,60109502.0,-468.0,0.0
2018-07-10,,,,,,,,,60109502.0,0.0,0.0
2018-07-11,,,,,,,,,60109502.0,0.0,0.0
2018-07-12,,,,,,,,,60109502.0,0.0,0.0
2018-07-13,,,,,,,,,60109502.0,0.0,0.0
2018-07-14,,,,,,,,,60109502.0,0.0,0.0
2018-07-15,,,,,,,,,60109502.0,0.0,0.0
2018-07-16,,,,,,,,,60109502.0,0.0,0.0
2018-07-17,,,,,,,,,60109502.0,0.0,0.0
2018-07-18,,,,,,,,,60109502.0,0.0,0.0
2018-07-19,,,,,,,,,60109502.0,0.0,0.0
2018-07-20,,,,,,,,,60109502.0,0.0,0.0
2018-07-21,,,,,,,,,60109502.0,0.0,0.0
2018-07-22,,,,,,,,,60109502.0,0.0,0.0
2018-07-23,,,,,,,,,60109502.0,0.0,0.0
2018-07-24,,,,,,,,,60109502.0,0.0,0.0
2018-07-25,,,,,,,,,60109502.0,0.0,0.0
2018-07-26,,,,,,,,,60109502.0,0.0,0.0
2018-07-27,,,,,,,,,60109502.0,0.0,0.0
2018-07-28,,,,,,,,,60109502.0,0.0,0.0
2018-07-29,,,,,,,,,30109502.0,-30000000.0,-0.49908914567284224
2018-07-30,,,,,,,,,30109502.0,-30000000.0,-0.49908914567284224
2018-07-31,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-01,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-02,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-03,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-04,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-05,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-06,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-07,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-08,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-09,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-10,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-11,,,,,,,,,15109502.0,-45000000.0,-0.7486337185092633
2018-08-12,,,,,,,,,15109502.0,-45000000.0,-0.4981816039335356
2018-08-13,,,,,,,,,15109502.0,-45000000.0,-0.4981816039335356
2018-08-14,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-15,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-16,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-17,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-18,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-19,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-20,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-21,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-22,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-23,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-24,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-25,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-26,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-27,,,,,,,,,15109502.0,-45000000.0,0.0
2018-08-28,,,,,,,,,15109502.0,-15000000.0,0.0
2018-08-29,,,,,,,,,15109502.0,-15000000.0,0.0
2018-08-30,,,,,,,,,15109502.0,0.0,0.0
2018-08-31,,,,,,,,,15109502.0,0.0,0.0
2018-09-01,,,,,,,,,15109502.0,0.0,0.0
2018-09-02,,,,,,,,,15109502.0,0.0,0.0
2018-09-03,,,,,,,,,15109502.0,0.0,0.0
2018-09-04,,,,,,,,,15109502.0,0.0,0.0
2018-09-05,,,,,,,,,15109502.0,0.0,0.0
2018-09-06,,,,,,,,,25109502.0,10000000.0,0.6618351815963226
2018-09-07,,,,,,,,,25109502.0,10000000.0,0.6618351815963226
2018-09-08,,,,,,,,,25109502.0,10000000.0,0.6618351815963226
2018-09-09,,,,,,,,,25109502.0,10000000.0,0.6618351815963226
2018-09-10,,,,,,,,,25109502.0,10000000.0,0.6618351815963226
2018-09-11,,,,,,,,,25109984.0,10000482.0,0.6618670820520756
2018-09-12,,,,,,,,,25360748.0,10251246.0,0.6784635257998577
2018-09-13,,,,,,,,,25360598.0,10251096.0,0.6784535982721336
2018-09-14,,,,,,,,,25360976.0,10251474.0,0.678478615641998
2018-09-15,,,,,,,,,25360976.0,10251474.0,0.678478615641998
2018-09-16,,,,,,,,,25360976.0,10251474.0,0.678478615641998
2018-09-17,,,,,,,,,25360976.0,10251474.0,0.678478615641998
2018-09-18,,,,,,,,,25361672.0,10252170.0,0.6785246793706372
2018-09-19,,,,,,,,,26661662.0,11552160.0,0.7645625911429774
2018-09-20,,,,,,,,,26662137.0,11552635.0,0.06183455968182883
2018-09-21,,,,,,,,,33195123.0,18085621.0,0.32201439120536923
2018-09-22,,,,,,,,,36765393.0,21655891.0,0.46420239636771776
2018-09-23,,,,,,,,,37265494.0,22155992.0,0.48411919917806423
2018-09-24,,,,,,,,,37265494.0,22155992.0,0.48411919917806423
2018-09-25,,,,,,,,,38275898.0,23166396.0,0.5243298442563722
2018-09-26,,,,,,,,,38275899.0,23166397.0,0.5092574950865014
2018-09-27,,,,,,,,,40385514.0,25276012.0,0.5924511716955569
2018-09-28,,,,,,,,,42363295.0,27253793.0,0.6704126450023058
2018-09-29,,,,,,,,,43300322.0,28190820.0,0.7073602372400809
2018-09-30,,,,,,,,,43300572.0,28191070.0,0.7073700949048649
2018-10-01,,,,,,,,,43300861.0,28191359.0,0.707381490365355
2018-10-02,,,,,,,,,45305813.0,30196311.0,0.7863890440661798
2018-10-03,,,,,,,,,45305768.0,30196266.0,0.6992852133524159
2018-10-04,,,,,,,,,56724316.0,41614814.0,1.1275232364157457
2018-10-05,,,,,,,,,57889570.0,42780068.0,0.7439179243288239
2018-10-06,,,,,,,,,61070154.0,35960652.0,0.6610771439326109
2018-10-07,,,,,,,,,61070154.0,35960652.0,0.6387855746659363
2018-10-08,,,,,,,,,61070154.0,35960652.0,0.6387855746659363
2018-10-09,,,,,,,,,60071561.0,34962059.0,0.5694357059891841
2018-10-10,,,,,,,,,61438044.0,36328542.0,0.605136537746638
2018-10-11,,,,,,,,,61246275.0,36136291.0,0.5165406833747368
2018-10-12,,,,,,,,,61631284.0,36270536.0,0.4548274396502916
2018-10-13,,,,,,,,,69121215.0,43760617.0,0.5963210389059002
2018-10-14,,,,,,,,,71789030.0,46428054.0,0.6579233641532496
2018-10-15,,,,,,,,,71789030.0,46428054.0,0.657912298787777
2018-10-16,,,,,,,,,95036850.0,69675874.0,1.0976745301977031
2018-10-17,,,,,,,,,109473038.0,84112062.0,1.4163156885454407
2018-10-18,,,,,,,,,122400952.0,97039280.0,1.1578215592762722
2018-10-19,,,,,,,,,122148902.0,95487240.0,1.110032981761654
2018-10-20,,,,,,,,,135681750.0,109019613.0,1.2217358417010051
2018-10-21,,,,,,,,,140903722.0,107708599.0,1.307243600531939
2018-10-22,,,,,,,,,140903722.0,104138329.0,1.307243600531939
2018-10-23,,,,,,,,,150878065.0,113612571.0,1.511638826898472
2018-10-24,,,,,,,,,216696214.0,179430720.0,2.5270688956178358
2018-10-25,,,,,,,,,256425695.0,218149797.0,3.1867965847718907
