timestamp,MVRV_V10,MVRV_Pct6m,ExchangeFlow_V10,OBV_Momentum,STH_SOPR,FearGreed_Normalized,Hashrate_7dMA,Hashrate_Chg30d,ActiveAddresses_7d,Puell_Multiple
2020-01-01,,,,,,,,,,
2020-01-02,,,,,,,,,,
2020-01-03,,,,,,,,,,
2020-01-04,,,,,,,,,,
2020-01-05,,,,,,,,,,
2020-01-06,,,,,,,,,,
2020-01-07,,,,,,,,,,
2020-01-08,,,,,,,,,,
2020-01-09,,,,,,,,,,
2020-01-10,,,,,,,,,,
2020-01-11,,,,,,,,,,
2020-01-12,,,,,,,,,,
2020-01-13,,,,,,,,,,
2020-01-14,,,,,,,,,,
2020-01-15,,,,,,,,,,
2020-01-16,,,,,,,,,,
2020-01-17,,,,,,,,,,
2020-01-18,,,,,,,,,,
2020-01-19,,,,,,,,,,
2020-01-20,,,,,,,,,,
2020-01-21,,,,,,,,,,
2020-01-22,,,,,,,,,,
2020-01-23,,,,,,,,,,
2020-01-24,,,,,,,,,,
2020-01-25,,,,,,,,,495954.14285714284,
2020-01-26,,,,,,,101102549.72419791,,495954.14285714284,
2020-01-27,,,,,,,101102549.72419791,,495954.14285714284,
2020-01-28,,,,,,,101102549.72419791,,495954.14285714284,
2020-01-29,,,,,,,101102549.72419791,,522192.14285714284,
2020-01-30,,,0.38548585285609355,19895.351547655147,,,104419523.66814037,,522192.14285714284,
2020-01-31,,,0.38018857577115106,20603.797720530376,,,104419523.66814037,,522192.14285714284,
2020-02-01,,,0.36317977022480835,20612.064259980587,,,104419523.66814037,,522192.14285714284,
2020-02-02,,,0.34746747969272157,20589.3951031522,,,104419523.66814037,,528214.5714285715,
2020-02-03,,,0.31031251869180904,19090.675358913722,,,107445791.3266715,,528214.5714285715,
2020-02-04,,,0.2411729033877554,15326.888463621064,,,107445791.3266715,,528214.5714285715,
2020-02-05,,,0.19103217722239868,12598.13518827781,,,107445791.3266715,,528214.5714285715,
2020-02-06,,,0.1921024866712992,13010.13878066135,,,107445791.3266715,,528085.0,
2020-02-07,,,0.2247917898014948,15523.229305280198,,,108111688.52254264,,528085.0,
